"origin","dep_delay","arr_delay"
"LGA",4,20
"LGA",-6,-25
"LGA",-3,-14
"LGA",-2,8
"LGA",-1,31
"LGA",0,-7
"LGA",0,12
"LGA",-8,-8
"LGA",-3,16
"LGA",13,5
"LGA",-4,1
"LGA",-6,10
"LGA",-1,14
"LGA",-1,-19
"LGA",0,48
"LGA",-8,-5
"LGA",1,-6
"LGA",-7,-33
"LGA",-5,-18
"LGA",-4,4
"LGA",-9,27
"LGA",-3,-14
"LGA",-2,5
"LGA",-1,-7
"LGA",-6,-6
"LGA",9,20
"LGA",-3,10
"LGA",-6,31
"LGA",-4,3
"LGA",3,2
"LGA",-6,-12
"LGA",-4,2
"LGA",-3,-18
"LGA",2,-4
"LGA",-7,-4
"LGA",-2,-14
"LGA",-5,-2
"LGA",-1,33
"LGA",0,8
"LGA",-10,-4
"LGA",-5,-28
"LGA",101,137
"LGA",-2,7
"LGA",4,17
"LGA",-8,-2
"LGA",-6,2
"LGA",0,3
"LGA",-5,-13
"LGA",-8,-24
"LGA",-2,32
"LGA",0,20
"LGA",-11,-8
"LGA",-4,-2
"LGA",-4,-10
"LGA",-8,-13
"LGA",-2,-8
"LGA",-1,-24
"LGA",43,50
"LGA",-7,-29
"LGA",-3,28
"LGA",0,27
"LGA",-3,-26
"LGA",1,-1
"LGA",1,13
"LGA",-2,15
"LGA",-4,-16
"LGA",-9,-12
"LGA",-3,3
"LGA",-3,7
"LGA",-5,-11
"LGA",-15,6
"LGA",-6,12
"LGA",-4,0
"LGA",-3,-6
"LGA",-1,-15
"LGA",-6,-10
"LGA",10,5
"LGA",-2,2
"LGA",-6,-11
"LGA",5,26
"LGA",2,11
"LGA",7,11
"LGA",-8,-6
"LGA",-2,12
"LGA",3,4
"LGA",-5,-13
"LGA",134,145
"LGA",-5,4
"LGA",-5,-8
"LGA",-3,4
"LGA",-10,-5
"LGA",-2,19
"LGA",-10,3
"LGA",-8,-11
"LGA",5,-3
"LGA",-6,-23
"LGA",4,23
"LGA",13,18
"LGA",5,22
"LGA",6,27
"LGA",2,11
"LGA",-7,-19
"LGA",-5,-17
"LGA",-4,17
"LGA",-2,3
"LGA",-5,-1
"LGA",1,18
"LGA",-6,-18
"LGA",11,11
"LGA",-4,-3
"LGA",6,7
"LGA",-2,6
"LGA",-1,-4
"LGA",16,19
"LGA",0,-2
"JFK",-8,-8
"JFK",-8,18
"JFK",-6,-33
"LGA",-5,16
"JFK",-6,10
"JFK",-3,-29
"EWR",-2,7
"JFK",-6,-28
"JFK",-10,-17
"EWR",0,15
"EWR",3,9
"EWR",3,6
"LGA",54,67
"LGA",33,72
"JFK",-1,-23
"JFK",-5,-35
"LGA",15,18
"EWR",10,29
"EWR",13,20
"EWR",0,23
"JFK",3,3
"JFK",-4,15
"JFK",-4,2
"JFK",-3,-40
"JFK",-2,-16
"JFK",-6,-30
"EWR",14,13
"EWR",-4,-4
"EWR",1,-15
"EWR",-3,14
"EWR",8,21
"EWR",5,20
"EWR",-3,-8
"JFK",-9,-34
"EWR",32,25
"EWR",6,16
"EWR",10,26
"JFK",1,-4
"LGA",-7,-13
"EWR",10,-1
"JFK",-6,-14
"EWR",34,40
"JFK",-5,3
"JFK",-5,-22
"JFK",0,-5
"JFK",-4,-14
"EWR",7,41
"EWR",27,22
"JFK",-2,-32
"JFK",-9,11
"LGA",1,16
"LGA",2,16
"LGA",-5,9
"EWR",21,14
"JFK",36,33
"LGA",-7,-19
"JFK",13,-8
"JFK",-6,0
"LGA",-14,-6
"LGA",-3,10
"JFK",8,-7
"LGA",-1,3
"JFK",-5,16
"JFK",-4,4
"JFK",-3,-18
"JFK",2,3
"EWR",88,107
"LGA",0,14
"JFK",0,16
"EWR",62,123
"JFK",56,46
"LGA",-6,3
"JFK",-1,-21
"LGA",-4,-24
"JFK",88,66
"JFK",24,27
"LGA",-1,-4
"LGA",-1,10
"JFK",-4,34
"JFK",0,-6
"JFK",6,4
"LGA",8,21
"LGA",-2,-15
"EWR",0,-3
"LGA",-3,-14
"EWR",1,-12
"LGA",-4,17
"EWR",-7,-19
"LGA",10,8
"LGA",11,18
"EWR",16,11
"LGA",-3,3
"EWR",0,26
"EWR",-4,14
"LGA",16,2
"EWR",-2,9
"LGA",23,32
"EWR",1,6
"EWR",9,8
"EWR",4,0
"EWR",-6,7
"LGA",34,32
"LGA",-5,25
"EWR",13,8
"LGA",-7,2
"LGA",61,52
"JFK",63,78
"LGA",-11,2
"JFK",-10,-9
"LGA",-7,-14
"LGA",24,40
"LGA",-4,-5
"LGA",7,3
"JFK",131,127
"LGA",-2,-1
"JFK",-1,-47
"JFK",-1,-48
"JFK",5,10
"JFK",-9,-33
"JFK",-3,2
"JFK",-1,-12
"JFK",0,19
"LGA",15,15
"LGA",1,-5
"LGA",-3,-19
"JFK",-5,-19
"LGA",-4,-7
"JFK",1,-4
"EWR",46,54
"LGA",-5,-13
"JFK",25,21
"JFK",-2,-18
"JFK",105,81
"JFK",129,151
"JFK",32,25
"JFK",-1,-2
"LGA",1,-10
"JFK",157,174
"JFK",5,16
"JFK",12,-22
"JFK",29,25
"LGA",7,-4
"EWR",216,222
"LGA",73,83
"EWR",121,123
"JFK",36,50
"JFK",42,47
"JFK",38,34
"JFK",56,50
"JFK",51,45
"EWR",-5,-5
"LGA",-4,-6
"LGA",-4,5
"EWR",-3,17
"EWR",-2,25
"LGA",-2,5
"EWR",-2,9
"LGA",0,17
"EWR",-6,-12
"JFK",-7,-32
"EWR",-6,-6
"EWR",5,17
"JFK",255,250
"EWR",6,-10
"LGA",-10,-2
"LGA",-3,22
"JFK",-7,-24
"JFK",3,3
"JFK",9,-9
"EWR",-9,-14
"JFK",5,-14
"JFK",2,2
"EWR",-2,-13
"JFK",24,21
"JFK",14,23
"JFK",26,28
"JFK",47,73
"EWR",24,8
"JFK",30,49
"EWR",62,49
"EWR",83,69
"JFK",116,73
"JFK",-6,-20
"JFK",-6,-24
"JFK",-3,-12
"LGA",10,-6
"LGA",-4,4
"LGA",-9,-11
"LGA",0,-19
"LGA",0,-2
"LGA",15,23
"LGA",-5,-23
"LGA",-5,-16
"LGA",-4,-13
"LGA",-8,18
"LGA",-8,-6
"LGA",-6,1
"LGA",-3,-3
"LGA",-9,-18
"LGA",-3,-29
"LGA",-1,-10
"LGA",-2,-25
"LGA",-1,-16
"LGA",0,-4
"LGA",12,9
"LGA",7,-6
"LGA",-6,8
"LGA",-1,-5
"LGA",-5,-5
"LGA",-6,-4
"LGA",9,2
"LGA",-2,-10
"LGA",1,22
"LGA",0,-17
"LGA",-5,-1
"LGA",-7,-20
"LGA",9,0
"JFK",-5,-5
"LGA",-3,-7
"LGA",9,14
"JFK",-5,14
"JFK",0,-17
"LGA",-3,-10
"LGA",21,10
"LGA",3,0
"JFK",-1,-11
"LGA",10,-6
"LGA",-5,4
"LGA",1,-11
"JFK",-2,-30
"JFK",-4,2
"JFK",8,7
"LGA",-8,7
"LGA",-2,7
