 Country,Population, GDP, Life expectancy
 Argentina,40301927,12779.37964,75.32
 Bolivia,9119152,3822.137084,65.554
 Brazil,190010647,9065.800825,72.39
 Canada,33390141,36319.23501,80.653
 Chile,16284741,13171.63885,78.553
 Colombia,44227550,7006.580419,72.889
 Costa Rica,4133884,9645.06142,78.782
 Cuba,11416987,8948.102923,78.273
 Dominican Republic,9319622,6025.374752,72.235
 Ecuador,13755680,6873.262326,74.994
 El Salvador,6939688,5728.353514,71.878
 Guatemala,12572928,5186.050003,70.259
 Haiti,8502814,1201.637154,60.916
 Honduras,7483763,3548.330846,70.198
 Jamaica,2780132,7320.880262,72.567
 Mexico,108700891,11977.57496,76.195
 Nicaragua,5675356,2749.320965,72.899
 Panama,3242173,9809.185636,75.537
 Paraguay,6667147,4172.838464,71.752
 Peru,28674757,7408.905561,71.421
 Puerto Rico,3942491,19328.70901,78.746
 Trinidad and Tobago,1056608,18008.50924,69.819
 United States,301139947,42951.65309,78.242
 Uruguay,3447496,10611.46299,76.384
 Venezuela,26084662,11415.80569,73.747
